,learning_rate,momentum,test_accuracy
577,0.58,0.8,0.4522
578,0.58,0.9,0.4358
579,0.58,1.0,0.2975
580,0.59,0.1,0.655
581,0.59,0.2,0.7428
582,0.59,0.3,0.546
583,0.59,0.4,0.4556
584,0.59,0.5,0.4579
585,0.59,0.6,0.4549
586,0.59,0.7,0.4544
587,0.59,0.8,0.4477
588,0.59,0.9,0.4428
589,0.59,1.0,0.2903
590,0.6,0.1,0.7487
591,0.6,0.2,0.6603
592,0.6,0.3,0.4613
593,0.6,0.4,0.4585
594,0.6,0.5,0.5374
595,0.6,0.6,0.4554
596,0.6,0.7,0.4585
597,0.6,0.8,0.4555
598,0.6,0.9,0.4524
599,0.6,1.0,0.259
600,0.61,0.1,0.7473
601,0.61,0.2,0.6578
602,0.61,0.3,0.5466
603,0.61,0.4,0.5456
604,0.61,0.5,0.4579
605,0.61,0.6,0.4582
606,0.61,0.7,0.4559
607,0.61,0.8,0.4538
608,0.61,0.9,0.3458
609,0.61,1.0,0.2788
610,0.62,0.1,0.7424
611,0.62,0.2,0.5427
612,0.62,0.3,0.5447
613,0.62,0.4,0.46
614,0.62,0.5,0.461
615,0.62,0.6,0.459
616,0.62,0.7,0.3683
617,0.62,0.8,0.4565
618,0.62,0.9,0.3547
619,0.62,1.0,0.2932
620,0.63,0.1,0.6594
621,0.63,0.2,0.6587
622,0.63,0.3,0.4594
623,0.63,0.4,0.4527
624,0.63,0.5,0.4501
625,0.63,0.6,0.4555
626,0.63,0.7,0.4508
627,0.63,0.8,0.3604
628,0.63,0.9,0.3597
629,0.63,1.0,0.2744
630,0.64,0.1,0.6585
631,0.64,0.2,0.6501
632,0.64,0.3,0.6489
633,0.64,0.4,0.4596
634,0.64,0.5,0.4553
635,0.64,0.6,0.4526
636,0.64,0.7,0.3632
637,0.64,0.8,0.3644
638,0.64,0.9,0.3559
639,0.64,1.0,0.2764
640,0.65,0.1,0.6529
641,0.65,0.2,0.5488
642,0.65,0.3,0.5458
643,0.65,0.4,0.5426
644,0.65,0.5,0.4584
645,0.65,0.6,0.455
646,0.65,0.7,0.4511
647,0.65,0.8,0.4427
648,0.65,0.9,0.3613
649,0.65,1.0,0.2676
650,0.66,0.1,0.7486
651,0.66,0.2,0.5722
652,0.66,0.3,0.5442
653,0.66,0.4,0.5465
654,0.66,0.5,0.4569
655,0.66,0.6,0.4579
656,0.66,0.7,0.4527
657,0.66,0.8,0.4548
658,0.66,0.9,0.4422
659,0.66,1.0,0.2616
660,0.67,0.1,0.6555
661,0.67,0.2,0.5509
662,0.67,0.3,0.544
663,0.67,0.4,0.4563
664,0.67,0.5,0.4594
665,0.67,0.6,0.4572
666,0.67,0.7,0.455
667,0.67,0.8,0.3572
668,0.67,0.9,0.3598
669,0.67,1.0,0.293
670,0.68,0.1,0.7475
671,0.68,0.2,0.5467
672,0.68,0.3,0.5503
673,0.68,0.4,0.4612
674,0.68,0.5,0.4595
675,0.68,0.6,0.4554
676,0.68,0.7,0.4527
677,0.68,0.8,0.4506
678,0.68,0.9,0.3654
679,0.68,1.0,0.265
680,0.69,0.1,0.5472
681,0.69,0.2,0.6601
682,0.69,0.3,0.5686
683,0.69,0.4,0.4567
684,0.69,0.5,0.456
685,0.69,0.6,0.4559
686,0.69,0.7,0.4549
687,0.69,0.8,0.293
688,0.69,0.9,0.3574
689,0.69,1.0,0.3033
690,0.7,0.1,0.7502
691,0.7,0.2,0.5471
692,0.7,0.3,0.4594
693,0.7,0.4,0.4594
694,0.7,0.5,0.458
695,0.7,0.6,0.456
696,0.7,0.7,0.4497
697,0.7,0.8,0.3669
698,0.7,0.9,0.3468
699,0.7,1.0,0.2105
700,0.71,0.1,0.6554
701,0.71,0.2,0.5471
702,0.71,0.3,0.5425
703,0.71,0.4,0.4585
704,0.71,0.5,0.4578
705,0.71,0.6,0.3637
706,0.71,0.7,0.4561
707,0.71,0.8,0.3659
708,0.71,0.9,0.3488
709,0.71,1.0,0.2959
710,0.72,0.1,0.66
711,0.72,0.2,0.5453
712,0.72,0.3,0.5424
713,0.72,0.4,0.4564
714,0.72,0.5,0.4456
715,0.72,0.6,0.4541
716,0.72,0.7,0.3655
717,0.72,0.8,0.37
718,0.72,0.9,0.3564
719,0.72,1.0,0.2706
720,0.73,0.1,0.6516
721,0.73,0.2,0.5449
722,0.73,0.3,0.5426
723,0.73,0.4,0.5435
724,0.73,0.5,0.4574
725,0.73,0.6,0.4586
726,0.73,0.7,0.4558
727,0.73,0.8,0.3613
728,0.73,0.9,0.3609
729,0.73,1.0,0.2962
730,0.74,0.1,0.659
731,0.74,0.2,0.5419
732,0.74,0.3,0.4564
733,0.74,0.4,0.4557
734,0.74,0.5,0.4539
735,0.74,0.6,0.4556
736,0.74,0.7,0.453
737,0.74,0.8,0.365
738,0.74,0.9,0.3567
739,0.74,1.0,0.216
740,0.75,0.1,0.6554
741,0.75,0.2,0.4551
742,0.75,0.3,0.5465
743,0.75,0.4,0.4521
744,0.75,0.5,0.4589
745,0.75,0.6,0.4501
746,0.75,0.7,0.4536
747,0.75,0.8,0.3705
748,0.75,0.9,0.3585
749,0.75,1.0,0.2531
750,0.76,0.1,0.6558
751,0.76,0.2,0.4612
752,0.76,0.3,0.5445
753,0.76,0.4,0.5464
754,0.76,0.5,0.4586
755,0.76,0.6,0.2818
756,0.76,0.7,0.4538
757,0.76,0.8,0.3659
758,0.76,0.9,0.3602
759,0.76,1.0,0.268
760,0.77,0.1,0.653
761,0.77,0.2,0.6536
762,0.77,0.3,0.5437
763,0.77,0.4,0.4547
764,0.77,0.5,0.4548
765,0.77,0.6,0.3652
766,0.77,0.7,0.3668
767,0.77,0.8,0.3661
768,0.77,0.9,0.3553
769,0.77,1.0,0.2108
770,0.78,0.1,0.5449
771,0.78,0.2,0.4569
772,0.78,0.3,0.5408
773,0.78,0.4,0.4563
774,0.78,0.5,0.3726
775,0.78,0.6,0.4531
776,0.78,0.7,0.3688
777,0.78,0.8,0.365
778,0.78,0.9,0.3564
779,0.78,1.0,0.2649
780,0.79,0.1,0.5494
781,0.79,0.2,0.5392
782,0.79,0.3,0.5414
783,0.79,0.4,0.4564
784,0.79,0.5,0.4559
785,0.79,0.6,0.4485
786,0.79,0.7,0.3637
787,0.79,0.8,0.365
788,0.79,0.9,0.356
789,0.79,1.0,0.2759
790,0.8,0.1,0.5421
791,0.8,0.2,0.5403
792,0.8,0.3,0.5446
793,0.8,0.4,0.4468
794,0.8,0.5,0.461
795,0.8,0.6,0.4536
796,0.8,0.7,0.3696
797,0.8,0.8,0.3647
798,0.8,0.9,0.3623
799,0.8,1.0,0.2496
800,0.81,0.1,0.5474
801,0.81,0.2,0.4572
802,0.81,0.3,0.4588
803,0.81,0.4,0.4589
804,0.81,0.5,0.4563
805,0.81,0.6,0.3687
806,0.81,0.7,0.3665
807,0.81,0.8,0.3642
808,0.81,0.9,0.3427
809,0.81,1.0,0.2636
810,0.82,0.1,0.6489
811,0.82,0.2,0.4607
812,0.82,0.3,0.5466
813,0.82,0.4,0.4537
814,0.82,0.5,0.4499
815,0.82,0.6,0.349
816,0.82,0.7,0.368
817,0.82,0.8,0.3701
818,0.82,0.9,0.358
819,0.82,1.0,0.2674
820,0.83,0.1,0.6553
821,0.83,0.2,0.543
822,0.83,0.3,0.4595
823,0.83,0.4,0.4513
824,0.83,0.5,0.367
825,0.83,0.6,0.3633
826,0.83,0.7,0.3613
827,0.83,0.8,0.3643
828,0.83,0.9,0.3612
829,0.83,1.0,0.3056
830,0.84,0.1,0.5721
831,0.84,0.2,0.6541
832,0.84,0.3,0.5461
833,0.84,0.4,0.4547
834,0.84,0.5,0.4564
835,0.84,0.6,0.4541
836,0.84,0.7,0.3663
837,0.84,0.8,0.3459
838,0.84,0.9,0.3528
839,0.84,1.0,0.2478
840,0.85,0.1,0.5465
841,0.85,0.2,0.5432
842,0.85,0.3,0.5387
843,0.85,0.4,0.4537
844,0.85,0.5,0.4549
845,0.85,0.6,0.3693
846,0.85,0.7,0.365
847,0.85,0.8,0.3694
848,0.85,0.9,0.3623
849,0.85,1.0,0.2983
850,0.86,0.1,0.6459
851,0.86,0.2,0.5345
852,0.86,0.3,0.46
853,0.86,0.4,0.536
854,0.86,0.5,0.452
855,0.86,0.6,0.4546
856,0.86,0.7,0.37
857,0.86,0.8,0.3566
858,0.86,0.9,0.3514
859,0.86,1.0,0.3028
860,0.87,0.1,0.5486
861,0.87,0.2,0.6179
862,0.87,0.3,0.5359
863,0.87,0.4,0.4625
864,0.87,0.5,0.4492
865,0.87,0.6,0.3545
866,0.87,0.7,0.3673
867,0.87,0.8,0.3664
868,0.87,0.9,0.3586
869,0.87,1.0,0.2656
870,0.88,0.1,0.5465
871,0.88,0.2,0.7468
872,0.88,0.3,0.5429
873,0.88,0.4,0.4565
874,0.88,0.5,0.457
875,0.88,0.6,0.5286
876,0.88,0.7,0.3597
877,0.88,0.8,0.4522
878,0.88,0.9,0.3302
879,0.88,1.0,0.2416
880,0.89,0.1,0.4592
881,0.89,0.2,0.5496
882,0.89,0.3,0.4555
883,0.89,0.4,0.4581
884,0.89,0.5,0.4521
885,0.89,0.6,0.4499
886,0.89,0.7,0.4477
887,0.89,0.8,0.3636
888,0.89,0.9,0.3574
889,0.89,1.0,0.2338
890,0.9,0.1,0.6537
891,0.9,0.2,0.5451
892,0.9,0.3,0.5417
893,0.9,0.4,0.5193
894,0.9,0.5,0.4568
895,0.9,0.6,0.3681
896,0.9,0.7,0.3693
897,0.9,0.8,0.4405
898,0.9,0.9,0.3609
899,0.9,1.0,0.2681
900,0.91,0.1,0.462
901,0.91,0.2,0.5407
902,0.91,0.3,0.544
903,0.91,0.4,0.458
904,0.91,0.5,0.4504
905,0.91,0.6,0.4547
906,0.91,0.7,0.3521
907,0.91,0.8,0.3624
908,0.91,0.9,0.3566
909,0.91,1.0,0.2189
910,0.92,0.1,0.5423
911,0.92,0.2,0.5441
912,0.92,0.3,0.4576
913,0.92,0.4,0.5429
914,0.92,0.5,0.4568
915,0.92,0.6,0.4387
916,0.92,0.7,0.365
917,0.92,0.8,0.4416
918,0.92,0.9,0.3393
919,0.92,1.0,0.29
920,0.93,0.1,0.5465
921,0.93,0.2,0.544
922,0.93,0.3,0.5375
923,0.93,0.4,0.451
924,0.93,0.5,0.453
925,0.93,0.6,0.4519
926,0.93,0.7,0.361
927,0.93,0.8,0.3668
928,0.93,0.9,0.3523
929,0.93,1.0,0.2289
930,0.94,0.1,0.6567
931,0.94,0.2,0.5411
